time_s,h_plus,h_cross,amplitude,frequency_Hz
2.2800456009e-03,-3.1221563434e-22,-1.4367704478e-22,3.4368836978e-22,30.214060
2.3000460009e-03,-3.1168094352e-22,-1.4486753497e-22,3.4370279784e-22,30.215963
2.3200464009e-03,-3.1114168104e-22,-1.4605611174e-22,3.4371722892e-22,30.217866
2.3400468009e-03,-3.1059785343e-22,-1.4724275743e-22,3.4373166303e-22,30.219769
2.3600472009e-03,-3.1004946729e-22,-1.4842745442e-22,3.4374610018e-22,30.221673
2.3800476010e-03,-3.0949652926e-22,-1.4961018509e-22,3.4376054036e-22,30.223578
2.4000480010e-03,-3.0893904609e-22,-1.5079093186e-22,3.4377498357e-22,30.225482
2.4200484010e-03,-3.0837702456e-22,-1.5196967715e-22,3.4378942981e-22,30.227388
2.4400488010e-03,-3.0781047155e-22,-1.5314640344e-22,3.4380387910e-22,30.229293
2.4600492010e-03,-3.0723939398e-22,-1.5432109319e-22,3.4381833142e-22,30.231199
2.4800496010e-03,-3.0666379886e-22,-1.5549372890e-22,3.4383278677e-22,30.233106
2.5000500010e-03,-3.0608369326e-22,-1.5666429310e-22,3.4384724517e-22,30.235013
2.5200504010e-03,-3.0549908430e-22,-1.5783276833e-22,3.4386170660e-22,30.236920
2.5400508010e-03,-3.0490997921e-22,-1.5899913716e-22,3.4387617108e-22,30.238828
2.5600512010e-03,-3.0431638524e-22,-1.6016338218e-22,3.4389063860e-22,30.240737
2.5800516010e-03,-3.0371830975e-22,-1.6132548601e-22,3.4390510917e-22,30.242645
2.6000520010e-03,-3.0311576013e-22,-1.6248543129e-22,3.4391958278e-22,30.244555
2.6200524010e-03,-3.0250874386e-22,-1.6364320068e-22,3.4393405943e-22,30.246464
2.6400528011e-03,-3.0189726849e-22,-1.6479877686e-22,3.4394853914e-22,30.248374
2.6600532011e-03,-3.0128134162e-22,-1.6595214256e-22,3.4396302189e-22,30.250285
2.6800536011e-03,-3.0066097093e-22,-1.6710328051e-22,3.4397750769e-22,30.252196
2.7000540011e-03,-3.0003616417e-22,-1.6825217347e-22,3.4399199654e-22,30.254107
2.7200544011e-03,-2.9940692915e-22,-1.6939880423e-22,3.4400648845e-22,30.256019
2.7400548011e-03,-2.9877327374e-22,-1.7054315561e-22,3.4402098341e-22,30.257932
2.7600552011e-03,-2.9813520589e-22,-1.7168521044e-22,3.4403548142e-22,30.259844
2.7800556011e-03,-2.9749273361e-22,-1.7282495160e-22,3.4404998249e-22,30.261757
2.8000560011e-03,-2.9684586499e-22,-1.7396236197e-22,3.4406448661e-22,30.263671
2.8200564011e-03,-2.9619460817e-22,-1.7509742449e-22,3.4407899379e-22,30.265585
2.8400568011e-03,-2.9553897135e-22,-1.7623012208e-22,3.4409350403e-22,30.267500
2.8600572011e-03,-2.9487896283e-22,-1.7736043773e-22,3.4410801733e-22,30.269415
2.8800576012e-03,-2.9421459094e-22,-1.7848835445e-22,3.4412253369e-22,30.271330
2.9000580012e-03,-2.9354586410e-22,-1.7961385525e-22,3.4413705312e-22,30.273246
2.9200584012e-03,-2.9287279078e-22,-1.8073692321e-22,3.4415157561e-22,30.275162
2.9400588012e-03,-2.9219537954e-22,-1.8185754139e-22,3.4416610116e-22,30.277079
2.9600592012e-03,-2.9151363898e-22,-1.8297569293e-22,3.4418062978e-22,30.278996
2.9800596012e-03,-2.9082757777e-22,-1.8409136097e-22,3.4419516146e-22,30.280914
3.0000600012e-03,-2.9013720466e-22,-1.8520452867e-22,3.4420969622e-22,30.282832
3.0200604012e-03,-2.8944252847e-22,-1.8631517924e-22,3.4422423404e-22,30.284750
3.0400608012e-03,-2.8874355805e-22,-1.8742329591e-22,3.4423877493e-22,30.286669
3.0600612012e-03,-2.8804030236e-22,-1.8852886195e-22,3.4425331890e-22,30.288589
3.0800616012e-03,-2.8733277040e-22,-1.8963186065e-22,3.4426786594e-22,30.290509
3.1000620012e-03,-2.8662097124e-22,-1.9073227532e-22,3.4428241605e-22,30.292429
3.1200624012e-03,-2.8590491401e-22,-1.9183008933e-22,3.4429696924e-22,30.294350
3.1400628013e-03,-2.8518460792e-22,-1.9292528606e-22,3.4431152550e-22,30.296271
3.1600632013e-03,-2.8446006223e-22,-1.9401784891e-22,3.4432608484e-22,30.298193
3.1800636013e-03,-2.8373128629e-22,-1.9510776136e-22,3.4434064726e-22,30.300115
3.2000640013e-03,-2.8299828947e-22,-1.9619500685e-22,3.4435521277e-22,30.302037
3.2200644013e-03,-2.8226108125e-22,-1.9727956892e-22,3.4436978135e-22,30.303960
3.2400648013e-03,-2.8151967116e-22,-1.9836143111e-22,3.4438435301e-22,30.305884
3.2600652013e-03,-2.8077406877e-22,-1.9944057698e-22,3.4439892776e-22,30.307808
3.2800656013e-03,-2.8002428376e-22,-2.0051699015e-22,3.4441350559e-22,30.309732
3.3000660013e-03,-2.7927032583e-22,-2.0159065426e-22,3.4442808651e-22,30.311657
3.3200664013e-03,-2.7851220478e-22,-2.0266155298e-22,3.4444267051e-22,30.313582
3.3400668013e-03,-2.7774993046e-22,-2.0372967002e-22,3.4445725761e-22,30.315508
3.3600672013e-03,-2.7698351277e-22,-2.0479498913e-22,3.4447184779e-22,30.317434
3.3800676014e-03,-2.7621296169e-22,-2.0585749408e-22,3.4448644106e-22,30.319360
3.4000680014e-03,-2.7543828727e-22,-2.0691716867e-22,3.4450103742e-22,30.321287
3.4200684014e-03,-2.7465949961e-22,-2.0797399676e-22,3.4451563688e-22,30.323215
