Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE,x1_Newton,y1_Newton,x2_Newton,y2_Newton,x3_Newton,y3_Newton,dx1_1000,dy1_1000,dx2_1000,dy2_1000,dx3_1000,dy3_1000
5000000.000,+14972404.786501,+1333957.216790,-10100152.077225,+15370024.968896,-4841174.675996,-16720630.273844,-149540.264947,-1377654.256021,+15682722.605988,-16624479.065621,-15533182.341039,+18002133.321555,-95.131,+39.050,+40.349,-28.723,+56.211,-10.052
5100000.000,+15271852.958498,+1360636.380343,-10302155.160603,+15677425.545853,-4937998.203755,-17055042.976036,-152530.997265,-1405207.367732,+15996376.948923,-16956968.552620,-15843845.951665,+18362175.920360,-97.000,+39.828,+41.094,-29.282,+57.343,-10.101
5200000.000,+15571301.130519,+1387315.543910,-10504158.243981,+15984826.122869,-5034821.731605,-17389455.678541,-155521.729536,-1432760.479462,+16310031.291686,-17289458.039404,-16154509.562175,+18722218.518831,-98.938,+40.605,+41.910,-29.882,+58.461,-10.434
5300000.000,+15870749.302708,+1413994.707499,-10706161.327404,+16292226.700011,-5131645.259456,-17723868.381086,-158512.461764,-1460313.591202,+16623685.634286,-17621947.526175,-16465173.172518,+19082261.117302,-100.800,+41.391,+42.797,-30.441,+59.578,-10.806
5400000.000,+16170197.474911,+1440673.871100,-10908164.410968,+16599627.277154,-5228468.787371,-18058281.083632,-161503.193949,-1487866.702959,+16937339.976671,-17954437.012586,-16775836.782782,+19442303.715548,-102.746,+42.172,+43.542,-30.999,+60.712,-10.991
5500000.000,+16469645.647287,+1467353.034712,-11110167.494533,+16907027.854316,-5325292.315314,-18392693.786177,-164493.926093,-1515419.814728,+17250994.318965,-18286926.498998,-17086500.392919,+19802346.313646,-104.608,+42.948,+44.287,-31.683,+61.830,-10.991
5600000.000,+16769093.819662,+1494032.198346,-11312170.578097,+17214428.431468,-5422115.843270,-18727106.488832,-167484.658199,-1542972.926509,+17564648.661139,-18619415.985195,-17397164.002870,+20162388.911745,-106.540,+43.737,+45.182,-32.420,+62.965,-11.100
5700000.000,+17068541.992038,+1520711.361987,-11514173.661763,+17521829.008983,-5518939.371307,-19061519.191750,-170475.390266,-1570526.038305,+17878303.003060,-18951905.471234,-17707827.612822,+20522431.509527,-108.492,+44.511,+46.012,-32.792,+64.083,-11.472
5800000.000,+17367990.164686,+1547390.525646,-11716176.745513,+17829229.586498,-5615762.899343,-19395931.894668,-173466.122297,-1598079.150109,+18191957.344981,-19284394.957273,-18018491.222774,+20882474.107253,-110.454,+45.296,+46.758,-33.165,+65.200,-11.845
5900000.000,+17667438.337434,+1574069.689315,-11918179.829264,+18136630.164014,-5712586.427410,-19730344.597586,-176456.854292,-1625632.261930,+18505611.686668,-19616884.442986,-18329154.832376,+21242516.704979,-112.317,+46.075,+47.503,-33.537,+66.338,-12.053
6000000.000,+17966886.510182,+1600748.852997,-12120182.913015,+18444030.741529,-5809409.955540,-20064757.300504,-179447.586253,-1653185.373757,+18819266.028217,-19949373.928653,-18639818.441955,+21602559.302409,-114.180,+46.857,+48.388,-34.282,+67.455,-12.053
6100000.000,+18266334.682930,+1627428.016691,-12322185.996808,+18751431.319045,-5906233.483669,-20399170.003422,-182438.318181,-1680738.485600,+19132920.369765,-20281863.414319,-18950482.051535,+21962601.899763,-116.042,+47.637,+49.276,-35.027,+68.573,-12.053
6200000.000,+18565782.855678,+1654107.180397,-12524189.080745,+19058831.896560,-6003057.011819,-20733582.706630,-185429.050078,-1708291.597450,+19446574.711067,-20614352.899652,-19261145.661114,+22322644.497116,-117.964,+48.419,+50.021,-35.772,+69.712,-12.343
6300000.000,+18865231.028637,+1680786.344113,-12726192.164682,+19366232.474080,-6099880.540042,-21067995.409921,-188419.781943,-1735844.709310,+19760229.052243,-20946842.384946,-19571809.270365,+22682687.094325,-119.989,+49.198,+50.766,-36.512,+70.829,-12.715
6400000.000,+19164679.201758,+1707465.507842,-12928195.248619,+19673633.051968,-6196704.068264,-21402408.113211,-191410.513778,-1763397.821183,+20073883.393419,-21279331.870240,-19882472.879572,+23042729.691306,-121.851,+49.983,+51.511,-36.885,+71.947,-13.088
6500000.000,+19464127.374878,+1734144.671577,-13130198.332556,+19981033.629856,-6293527.596487,-21736820.816502,-194401.245585,-1790950.933057,+20387537.734454,-21611821.355313,-20193136.488778,+23402772.288287,-123.714,+50.758,+52.441,-37.257,+73.066,-13.336
6600000.000,+19763575.547999,+1760823.835329,-13332201.416540,+20288434.207744,-6390351.124780,-22071233.519792,-197391.977363,-1818504.044954,+20701192.075258,-21944310.840234,-20503800.097985,+23762814.885268,-125.577,+51.549,+53.325,-37.630,+74.206,-13.336
6700000.000,+20063023.721119,+1787502.999081,-13534204.500663,+20595834.785632,-6487174.653096,-22405646.223083,-200382.709114,-1846057.156850,+21014846.416061,-22276800.325155,-20814463.707114,+24122857.482039,-127.439,+52.318,+54.070,-38.078,+75.324,-13.336
6800000.000,+20362471.894240,+1814182.162854,-13736207.584786,+20903235.363520,-6583998.181412,-22740058.926395,-203373.440838,-1873610.268756,+21328500.756865,-22609289.810076,-21125127.315948,+24482900.078647,-129.342,+53.107,+54.815,-38.823,+76.441,-13.357
6900000.000,+20661920.067506,+1840861.326630,-13938210.668909,+21210635.941408,-6680821.709728,-23074471.630058,-206364.172537,-1901163.380676,+21642155.097398,-22941779.294654,-21435790.924782,+24842942.675255,-131.432,+53.886,+55.560,-39.568,+77.576,-13.730
7000000.000,+20961368.240999,+1867540.490414,-14140213.753032,+21518036.519296,-6777645.238126,-23408884.333721,-209354.904211,-1928716.492596,+21955809.437829,-23274268.779203,-21746454.533616,+25202985.271864,-133.295,+54.663,+56.383,-40.313,+78.703,-14.103
7100000.000,+21260816.414492,+1894219.654213,-14342216.837155,+21825437.097183,-6874468.766535,-23743297.037384,-212345.635861,-1956269.604529,+22269463.778260,-23606758.263751,-22057118.142450,+25563027.868382,-135.157,+55.454,+57.315,-41.058,+79.821,-14.475
7200000.000,+21560264.587986,+1920898.818011,-14544219.921358,+22132837.675071,-6971292.294944,-24077709.741048,-215336.367487,-1983822.716472,+22583118.118691,-23939247.748300,-22367781.751285,+25923070.464618,-137.020,+56.224,+58.166,-41.803,+80.939,-14.848
7300000.000,+21859712.761479,+1947577.981825,-14746223.005668,+22440238.253325,-7068115.823353,-24412122.444711,-218327.099090,-2011375.828416,+22896772.458885,-24271737.232552,-22678445.359829,+26283113.060854,-138.883,+57.008,+58.911,-42.182,+82.056,-14.936
7400000.000,+22159160.934972,+1974257.145647,-14948226.089977,+22747638.831585,-7164939.351811,-24746535.148374,-221317.830670,-2038928.940370,+23210426.798944,-24604226.716728,-22989108.968291,+26643155.657090,-140.745,+57.798,+59.656,-42.555,+83.205,-14.936
7500000.000,+22458609.108465,+2000936.309469,-15150229.174287,+23055039.409846,-7261762.880313,-25080947.852037,-224308.562229,-2066482.052336,+23524081.139003,-24936716.200904,-23299772.576752,+27003198.253326,-142.608,+58.566,+60.401,-42.927,+84.322,-14.936
7600000.000,+22758057.281958,+2027615.473307,-15352232.258596,+23362439.988106,-7358586.408815,-25415360.555700,-227299.293767,-2094035.164303,+23837735.479061,-25269205.685080,-23610436.185214,+27363240.849445,-144.738,+59.351,+61.146,-43.300,+85.440,-14.936
7700000.000,+23057505.455760,+2054294.637153,-15554235.342905,+23669840.566367,-7455409.937317,-25749773.259611,-230290.025285,-2121588.276270,+24151389.819114,-25601695.169204,-23921099.793676,+27723283.445308,-146.665,+60.142,+62.043,-43.672,+86.558,-15.184
7800000.000,+23356953.629625,+2080973.800998,-15756238.427215,+23977241.144627,-7552233.465819,-26084185.963646,-233280.756782,-2149141.388236,+24465044.158800,-25934184.653008,-24231763.402137,+28083326.041171,-148.528,+60.911,+62.974,-44.389,+87.675,-15.556
7900000.000,+23656401.803491,+2107652.964846,-15958241.511603,+24284641.722887,-7649056.994375,-26418598.667682,-236271.488260,-2176694.500217,+24778698.498486,-26266674.136811,-24542427.010459,+28443368.637035,-150.390,+61.674,+63.826,-45.134,+88.828,-15.929
8000000.000,+23955849.977357,+2134332.128691,-16160244.596099,+24592042.301148,-7745880.522970,-26753011.371718,-239262.219718,-2204247.612230,+25092352.838172,-26599163.620615,-24853090.618548,+28803411.232898,-152.253,+62.419,+64.571,-45.879,+89.945,-16.301
8100000.000,+24255298.151222,+2161011.292573,-16362247.680595,+24899442.879408,-7842704.051565,-27087424.075753,-242252.951158,-2231800.724243,+25406007.177858,-26931653.104418,-25163754.226637,+29163453.828761,-154.116,+63.200,+65.316,-46.624,+91.063,-16.674
8200000.000,+24554746.325088,+2187690.456464,-16564250.765090,+25206843.457669,-7939527.580161,-27421836.779789,-245243.682580,-2259353.836257,+25719661.517544,-27264142.588222,-25474417.834726,+29523496.424380,-155.978,+63.992,+66.061,-47.369,+92.180,-16.962
8300000.000,+24854194.498954,+2214369.620356,-16766253.849586,+25514244.035929,-8036351.108756,-27756249.483825,-248234.413985,-2286906.948270,+26033315.856944,-27596632.071710,-25785081.442815,+29883539.019871,-157.841,+64.784,+66.806,-48.114,+93.298,-16.962
8400000.000,+25153642.672819,+2241048.784248,-16968256.934082,+25821644.614189,-8133174.637351,-28090662.187860,-251225.145372,-2314460.060283,+26346970.196257,-27929121.555141,-26095745.050905,+30243581.615361,-159.703,+65.575,+67.551,-48.859,+94.447,-16.962
8500000.000,+25453090.846685,+2267727.948140,-17170260.018577,+26129045.192799,-8229998.166032,-28425074.891896,-254215.876742,-2342013.172296,+26660624.535571,-28261611.038572,-26406408.658994,+30603624.210852,-161.761,+66.367,+68.296,-49.255,+95.573,-16.962
8600000.000,+25752539.020704,+2294407.112032,-17372263.103073,+26436445.771431,-8326821.694720,-28759487.595931,-257206.608096,-2369566.284310,+26974278.874884,-28594100.522003,-26717072.267083,+30963666.806343,-163.843,+67.156,+69.042,-49.628,+96.691,-16.962
8700000.000,+26051987.194942,+2321086.275924,-17574266.187569,+26743846.350064,-8423645.223375,-29093900.299967,-260197.339433,-2397119.396330,+27287933.214198,-28926590.005434,-27027735.874898,+31323709.401834,-165.706,+67.901,+69.787,-50.000,+97.850,-16.962
8800000.000,+26351435.369180,+2347765.439822,-17776269.272064,+27051246.928697,-8520468.752113,-29428313.004345,-263188.070756,-2424672.508390,+27601587.553511,-29259079.488865,-27338399.482615,+31683751.997294,-167.569,+68.652,+70.532,-50.373,+99.011,-17.305
8900000.000,+26650883.543418,+2374444.603760,-17978272.356560,+27358647.507330,-8617292.280894,-29762725.708753,-266178.802062,-2452225.620450,+27915241.892543,-29591568.972009,-27649063.090331,+32043794.592412,-169.431,+69.444,+71.327,-50.745,+100.129,-17.677
9000000.000,+26950331.717656,+2401123.767699,-18180275.441056,+27666048.085963,-8714115.809676,-30097138.413162,-269169.533354,-2479778.732510,+28228896.231484,-29924058.455068,-27959726.698048,+32403837.187531,-171.294,+70.236,+72.444,-51.118,+101.247,-18.050
9100000.000,+27249779.891895,+2427802.931637,-18382278.525551,+27973448.664596,-8810939.338457,-30431551.117570,-272160.264631,-2507331.844570,+28542550.570425,-30256547.938126,-28270390.305764,+32763879.782649,-173.157,+71.027,+73.562,-51.491,+102.364,-18.422
9200000.000,+27549228.066133,+2454482.095575,-18584281.610047,+28280849.243229,-8907762.867239,-30765963.821978,-275150.995893,-2534884.956629,+28856204.909366,-30589037.421184,-28581053.913481,+33123922.377767,-175.019,+71.819,+74.679,-52.221,+103.482,-18.795
9300000.000,+27848676.240371,+2481161.259514,-18786284.694787,+28588249.821862,-9004586.396021,-31100376.526386,-278141.727142,-2562438.068689,+29169859.248307,-30921526.904243,-28891717.521198,+33483964.972886,-176.882,+72.611,+75.553,-52.966,+104.599,-19.168
9400000.000,+28148124.414609,+2507840.423452,-18988287.779655,+28895650.400495,-9101409.924802,-31434789.230794,-281132.458377,-2589991.180749,+29483513.587248,-31254016.387301,-29202381.128914,+33844007.568004,-178.745,+73.402,+76.298,-53.712,+105.717,-19.540
9500000.000,+28447572.588847,+2534519.587391,-19190290.864523,+29203050.979128,-9198233.453584,-31769201.935202,-284123.189598,-2617544.292809,+29797167.926189,-31586505.870360,-29513044.736631,+34204050.163122,-180.607,+74.184,+77.043,-54.457,+106.835,-19.635
9600000.000,+28747020.763086,+2561198.751329,-19392293.949391,+29510451.557761,-9295056.982365,-32103614.639611,-287113.920806,-2645097.404869,+30110822.264831,-31918995.353152,-29823708.344177,+34564092.758240,-182.470,+74.929,+77.788,-55.202,+107.952,-19.635
9700000.000,+29046468.937324,+2587877.915267,-19594297.034259,+29817852.136394,-9391880.511147,-32438027.344019,-290104.652002,-2672650.516938,+30424476.603400,-32251484.835838,-30134371.951521,+34924135.353359,-184.635,+75.674,+78.533,-55.947,+109.070,-19.635
9800000.000,+29345917.111684,+2614557.079248,-19796300.119128,+30125252.715027,-9488704.039928,-32772440.048427,-293095.383184,-2700203.629044,+30738130.941968,-32583974.318524,-30445035.558865,+35284177.948477,-186.748,+76.461,+79.278,-56.692,+110.187,-19.635
9900000.000,+29645365.286295,+2641236.243233,-19998303.203996,+30432653.293660,-9585527.568710,-33106852.752835,-296086.114355,-2727756.741150,+31051785.280537,-32916463.801210,-30755699.166209,+35644220.543595,-188.611,+77.253,+80.023,-57.437,+111.305,-19.635
10000000.000,+29944813.460906,+2667915.407218,-20200306.288864,+30740053.872293,-9682351.097491,-33441265.457243,-299076.845513,-2755309.853257,+31365439.619105,-33248953.283896,-31066362.773553,+36004263.138714,-190.473,+78.044,+80.768,-58.182,+112.422,-19.635
