Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE
1210000000.000,+4720442720.394162,-392654459.430360,-3809023328.630504,+2043668154.813401,-909577832.013439,-1654116569.707636
1220000000.000,+4759454647.045163,-395899537.755632,-3840502858.964976,+2060557974.912278,-917095004.111598,-1667786954.591517
1230000000.000,+4798466573.696164,-399144616.080903,-3871982389.299449,+2077447795.011155,-924612176.209758,-1681457339.475398
1240000000.000,+4837478500.347165,-402389694.406175,-3903461919.633922,+2094337615.110032,-932129348.307918,-1695127724.359278
1250000000.000,+4876490426.998166,-405634772.731446,-3934941449.968394,+2111227435.208909,-939646520.406078,-1708798109.243159
1260000000.000,+4915502353.649167,-408879851.056718,-3966420980.302867,+2128117255.307786,-947163692.504238,-1722468494.127039
1270000000.000,+4954514280.300168,-412124929.381990,-3997900510.637340,+2145007075.406663,-954680864.602397,-1736138879.010920
1280000000.000,+4993526206.951169,-415370007.707261,-4029380040.971812,+2161896895.505540,-962198036.700557,-1749809263.894801
1290000000.000,+5032538133.602170,-418615086.032533,-4060859571.306285,+2178786715.604417,-969715208.798717,-1763479648.778681
1300000000.000,+5071550060.253171,-421860164.357804,-4092339101.640758,+2195676535.703294,-977232380.896877,-1777150033.662562
1310000000.000,+5110561986.904172,-425105242.683076,-4123818631.975230,+2212566355.802171,-984749552.995036,-1790820418.546443
1320000000.000,+5149573913.555173,-428350321.008348,-4155298162.309703,+2229456175.901048,-992266725.093196,-1804490803.430323
1330000000.000,+5188585840.206174,-431595399.333619,-4186777692.644176,+2246345995.999925,-999783897.191356,-1818161188.314204
1340000000.000,+5227597766.857175,-434840477.658891,-4218257222.978648,+2263235816.098802,-1007301069.289516,-1831831573.198084
1350000000.000,+5266609693.508176,-438085555.984162,-4249736753.313121,+2280125636.197679,-1014818241.387676,-1845501958.081965
1360000000.000,+5305621620.159177,-441330634.309434,-4281216283.647593,+2297015456.296556,-1022335413.485835,-1859172342.965846
1370000000.000,+5344633546.810178,-444575712.634706,-4312695813.982066,+2313905276.395432,-1029852585.583995,-1872842727.849726
1380000000.000,+5383645473.461179,-447820790.959977,-4344175344.316539,+2330795096.494309,-1037369757.682155,-1886513112.733607
1390000000.000,+5422657400.112180,-451065869.285249,-4375654874.651011,+2347684916.593186,-1044886929.780315,-1900183497.617487
1400000000.000,+5461669326.763181,-454310947.610520,-4407134404.985484,+2364574736.692063,-1052404101.878475,-1913853882.501368
1410000000.000,+5500681253.414182,-457556025.935792,-4438613935.319957,+2381464556.790940,-1059921273.976634,-1927524267.385249
1420000000.000,+5539693180.065183,-460801104.261064,-4470093465.654429,+2398354376.889817,-1067438446.074794,-1941194652.269129
1430000000.000,+5578705106.716184,-464046182.586335,-4501572995.988902,+2415244196.988694,-1074955618.365441,-1954865037.153010
1440000000.000,+5617717033.367185,-467291260.911607,-4533052526.323375,+2432134017.087571,-1082472791.655693,-1968535422.036891
1450000000.000,+5656728960.018186,-470536339.236878,-4564532056.657847,+2449023837.186448,-1089989964.945946,-1982205806.920771
1460000000.000,+5695740886.669187,-473781417.562150,-4596011586.992320,+2465913657.285325,-1097507138.236199,-1995876191.804652
1470000000.000,+5734752813.320188,-477026495.887422,-4627491117.326793,+2482803477.384202,-1105024311.526451,-2009546576.688532
1480000000.000,+5773764739.971189,-480271574.212693,-4658970647.661265,+2499693297.483079,-1112541484.816704,-2023216961.572413
1490000000.000,+5812776666.622190,-483516652.537965,-4690450177.995738,+2516583117.581956,-1120058658.106957,-2036887346.456294
1500000000.000,+5851788593.273190,-486761730.863236,-4721929708.330211,+2533472937.680833,-1127575831.397209,-2050557731.340174
1510000000.000,+5890800519.924191,-490006809.188508,-4753409238.664683,+2550362757.779710,-1135093004.687462,-2064228116.224055
1520000000.000,+5929812446.575192,-493251887.513780,-4784888768.999156,+2567252577.878587,-1142610177.977715,-2077898501.107935
1530000000.000,+5968824373.226193,-496496965.839051,-4816368299.333629,+2584142397.977464,-1150127351.267967,-2091568885.991816
1540000000.000,+6007836299.877194,-499742044.164323,-4847847829.668101,+2601032218.076341,-1157644524.558220,-2105239270.875697
1550000000.000,+6046848226.528195,-502987122.489595,-4879327360.002574,+2617922038.175218,-1165161697.848473,-2118909655.759577
1560000000.000,+6085860153.179196,-506232200.814866,-4910806890.337047,+2634811858.274095,-1172678871.138726,-2132580040.643458
1570000000.000,+6124872079.830197,-509477279.140138,-4942286420.671519,+2651701678.372972,-1180196044.428978,-2146250425.527339
1580000000.000,+6163884006.481198,-512722357.465409,-4973765951.005992,+2668591498.471848,-1187713217.719231,-2159920812.580325
1590000000.000,+6202895933.132199,-515967435.790681,-5005245481.340465,+2685481318.570725,-1195230391.009484,-2173591199.848391
1600000000.000,+6241907859.783200,-519212514.115953,-5036725011.674937,+2702371138.669602,-1202747564.299736,-2187261587.116457
1610000000.000,+6280919786.434201,-522457592.441224,-5068204542.009410,+2719260958.768479,-1210264737.589989,-2200931974.384524
1620000000.000,+6319931713.085202,-525702670.766496,-5099684072.343883,+2736150778.867356,-1217781910.880242,-2214602361.652590
1630000000.000,+6358943639.736203,-528947749.091767,-5131163602.678355,+2753040598.966233,-1225299084.170494,-2228272748.920657
1640000000.000,+6397955566.387204,-532192827.417039,-5162643133.012828,+2769930419.065110,-1232816257.460747,-2241943136.188723
1650000000.000,+6436967493.038205,-535437905.742311,-5194122663.347301,+2786820239.163987,-1240333430.751000,-2255613523.456789
1660000000.000,+6475979419.689206,-538682984.067582,-5225602193.681773,+2803710059.262864,-1247850604.041252,-2269283910.724856
1670000000.000,+6514991346.340207,-541928062.392854,-5257081724.016246,+2820599879.361741,-1255367777.331505,-2282954297.992922
1680000000.000,+6554003272.991208,-545173140.718125,-5288561254.350718,+2837489699.460618,-1262884950.621758,-2296624685.260989
1690000000.000,+6593015199.642209,-548418219.043397,-5320040784.685191,+2854379519.559495,-1270402123.912010,-2310295072.529055
1700000000.000,+6632027126.293210,-551663297.368669,-5351520315.019664,+2871269339.658372,-1277919297.202263,-2323965459.797122
1710000000.000,+6671039052.944211,-554908375.693940,-5382999845.354136,+2888159159.757249,-1285436470.492516,-2337635847.065188
