Time,Kinetic_Energy,Max_Velocity,Weighted_Energy,Quartic_Dissipation,VSS_Energy,Step
0.0115,3368331162.9728746,39.68180352425276,4360616636.600135,1984570611.326147,992285473.6272601,115000
0.0116,3368331259.4845953,39.675720649215656,4360279615.767456,1983896374.1559706,991948356.2828612,116000
0.0117,3368331359.01563,39.6695671602497,4359940123.399336,1983217187.887092,991608764.3837057,117000
0.0118,3368331461.5779295,39.663343688451484,4359598170.355455,1982533074.2150393,991266708.7775244,118000
0.011899999999999999,3368331567.183508,39.657050869206195,4359253767.563684,1981844054.971602,990922200.3801763,119000
0.012,3368331675.84451,39.65068934209896,4358906926.019642,1981150152.1237867,990575250.1751326,120000
0.0121,3368331787.5731635,39.64425975082154,4358557656.786041,1980451387.77263,990225869.2128778,121000
0.012199999999999999,3368331902.3817654,39.637762743083854,4358205970.992099,1979747784.152041,989874068.6103325,122000
0.0123,3368332020.2827296,39.63119897052144,4357851879.83305,1979039363.627728,989519859.5503196,123000
0.0124,3368332141.2885556,39.62456908860325,4357495394.569523,1978326148.6960146,989163253.2809674,124000
0.012499999999999999,3368332265.4118385,39.61787375654189,4357136526.526987,1977608161.9827108,988804261.1151489,125000
0.0126,3368332392.665248,39.61111363720032,4356775287.095139,1976885426.2419348,988442894.429891,126000
0.0127,3368332523.0615573,39.60428939700094,4356411687.727377,1976157964.3550017,988079164.6658201,127000
0.012799999999999999,3368332656.613628,39.59740170583337,4356045739.9402,1975425799.3292472,987713083.3265725,128000
0.0129,3368332793.3344316,39.59045123696352,4355677455.312664,1974688954.2969022,987344661.9782326,129000
0.013,3368332933.236986,39.583438666940204,4355306845.485697,1973947452.5138483,986973912.2487102,130000
0.013099999999999999,3368333076.334424,39.57636467550404,4354933922.161627,1973201317.3585417,986600845.8272028,131000
0.0132,3368333222.6399846,39.56922994549603,4354558697.103594,1972450572.3308387,986225474.4636092,132000
0.0133,3368333372.166942,39.56203516276501,4354181182.134841,1971695241.0507421,985847809.9678998,133000
0.013399999999999999,3368333524.9287257,39.554781016076824,4353801389.138333,1970935347.2573762,985467864.209608,134000
0.0135,3368333680.938809,39.54746819702162,4353419330.055981,1970170914.8076773,985085649.117172,135000
0.0136,3368333840.2107673,39.54009739992367,4353035016.888154,1969401967.675294,984701176.6773876,136000
0.013699999999999999,3368334002.758244,39.53266932174879,4352648461.693039,1968628529.9493647,984314458.9347949,137000
0.0138,3368334168.595001,39.52518466201575,4352259676.586124,1967850625.8334055,983925507.9911236,138000
0.0139,3368334337.734864,39.517644122702755,4351868673.7395315,1967068279.6440597,983534336.0046673,139000
0.013999999999999999,3368334510.1917586,39.51004840815981,4351475465.381473,1966281515.8099587,983140955.1897137,140000
0.0141,3368334685.9796896,39.502662138535044,4351080063.795633,1965490358.870519,982745377.815944,141000
0.014199999999999999,3368334865.112738,39.49561819790542,4350682481.320571,1964694833.4747474,982347616.2078338,142000
0.0143,3368335047.6050777,39.488516224331526,4350282730.349152,1963894964.380077,981947682.7440727,143000
0.0144,3368335233.4709864,39.48135691306671,4349880823.327961,1963090776.4511893,981545589.856975,144000
0.014499999999999999,3368335422.724787,39.47414096187495,4349476772.75664,1962282294.658763,981141350.0318537,145000
0.0146,3368335615.380925,39.46686907094557,4349070591.187391,1961469544.0783637,980734975.8064656,146000
0.0147,3368335811.453896,39.45954194280713,4348662291.224273,1960652549.8891768,980326479.7703772,147000
0.014799999999999999,3368336010.958313,39.45216028224062,4348251885.52272,1959831337.3728886,979915874.5644069,148000
0.0149,3368336213.9088316,39.44472479619487,4347839386.788815,1959005931.9124064,979503172.8799824,149000
0.015,3368336420.320231,39.43723619369995,4347424807.778825,1958176358.9907582,979088387.4585935,150000
0.015099999999999999,3368336630.2073374,39.429695185783466,4347008161.298486,1957342644.1898108,978671531.0911485,151000
0.0152,3368336843.5850844,39.422102485384976,4346589460.202497,1956504813.189142,978252616.6174123,152000
0.0153,3368337060.46847,39.41445880727246,4346168717.393854,1955662891.7647984,977831656.9253843,153000
